Tarifname;PLZ;Fixkosten;VariableKosten
Bio-Strom;73430;148,51;0,2324
Bio-Strom;73431;148,51;0,2324
Bio-Strom;73432;148,51;0,2324
Bio-Strom;73433;148,51;0,2324
Bio-Strom;73434;148,51;0,2324
Bio-Strom;73441;148,51;0,2324
Bio-Strom;73447;148,51;0,2324
Bio-Strom;73450;148,51;0,2324
Bio-Strom;73453;148,51;0,2324
Bio-Strom;73457;148,51;0,2324
Bio-Strom;73460;148,51;0,2324
Bio-Strom;73463;148,51;0,2324
Bio-Strom;73466;148,51;0,2324
Bio-Strom;73467;148,51;0,2324
Bio-Strom;73469;148,51;0,2324
Bio-Strom;73479;148,51;0,2324
Bio-Strom;73485;148,51;0,2324
Bio-Strom;73486;148,51;0,2324
Bio-Strom;73488;148,51;0,2324
Bio-Strom;73489;148,51;0,2324
Bio-Strom;73491;148,51;0,2324
Bio-Strom;73492;148,51;0,2324
Bio-Strom;73494;148,51;0,2324
Bio-Strom;73495;148,51;0,2324
Bio-Strom;73497;148,51;0,2324
Bio-Strom;73499;148,51;0,2324
Bio-Strom;73525;148,51;0,2324
Bio-Strom;73527;148,51;0,2324
Bio-Strom;73527;148,51;0,2324
Bio-Strom;73529;148,51;0,2324
Bio-Strom;73540;148,51;0,2324
Bio-Strom;73550;148,51;0,2324
Bio-Strom;73553;148,51;0,2324
Bio-Strom;73557;148,51;0,2324
Bio-Strom;73560;148,51;0,2324
Bio-Strom;73563;148,51;0,2324
Bio-Strom;73565;148,51;0,2324
Bio-Strom;73566;148,51;0,2324
Bio-Strom;73568;148,51;0,2324
Bio-Strom;73569;148,51;0,2324
Bio-Strom;73569;148,51;0,2324
Bio-Strom;73571;148,51;0,2324
Bio-Strom;73572;148,51;0,2324
Bio-Strom;73574;148,51;0,2324
Bio-Strom;73575;148,51;0,2324
Bio-Strom;73577;148,51;0,2324
Bio-Strom;73579;148,51;0,2324
Bio-Strom;73642;148,51;0,2324
Bio-Strom;73655;148,51;0,2324
Bio-Strom;73667;148,51;0,2324
Bio-Strom;74417;148,51;0,2324
Bio-Strom;74426;148,51;0,2324
Bio-Strom;74429;148,51;0,2324
Bio-Strom;74564;148,51;0,2324
Bio-Strom;74572;148,51;0,2324
Bio-Strom;74575;148,51;0,2324
Bio-Strom;74579;148,51;0,2324
Bio-Strom;74585;148,51;0,2324
Bio-Strom;74586;148,51;0,2324
Bio-Strom;74589;148,51;0,2324
Bio-Strom;74592;148,51;0,2324
Bio-Strom;74594;148,51;0,2324
Bio-Strom;74597;148,51;0,2324
Bio-Strom;74599;148,51;0,2324
Bio-Strom;86609;148,51;0,2324
Bio-Strom;86650;148,51;0,2324
Bio-Strom;86655;148,51;0,2324
Bio-Strom;86720;148,51;0,2324
Bio-Strom;86733;148,51;0,2324
Bio-Strom;86735;148,51;0,2324
Bio-Strom;86735;148,51;0,2324
Bio-Strom;86736;148,51;0,2324
Bio-Strom;86738;148,51;0,2324
Bio-Strom;86739;148,51;0,2324
Bio-Strom;86741;148,51;0,2324
Bio-Strom;86742;148,51;0,2324
Bio-Strom;86745;148,51;0,2324
Bio-Strom;86747;148,51;0,2324
Bio-Strom;86748;148,51;0,2324
Bio-Strom;86750;148,51;0,2324
Bio-Strom;86751;148,51;0,2324
Bio-Strom;86753;148,51;0,2324
Bio-Strom;86754;148,51;0,2324
Bio-Strom;86756;148,51;0,2324
Bio-Strom;86757;148,51;0,2324
Bio-Strom;86759;148,51;0,2324
Bio-Strom;89129;148,51;0,2324
Bio-Strom;89129;148,51;0,2324
Bio-Strom;89129;148,51;0,2324
Bio-Strom;89129;148,51;0,2324
Bio-Strom;89168;148,51;0,2324
Bio-Strom;89173;148,51;0,2324
Bio-Strom;89174;148,51;0,2324
Bio-Strom;89176;148,51;0,2324
Bio-Strom;89177;148,51;0,2324
Bio-Strom;89177;148,51;0,2324
Bio-Strom;89182;148,51;0,2324
Bio-Strom;89183;148,51;0,2324
Bio-Strom;89183;148,51;0,2324
Bio-Strom;89189;148,51;0,2324
Bio-Strom;89192;148,51;0,2324
Bio-Strom;89197;148,51;0,2324
Bio-Strom;89312;148,51;0,2324
Bio-Strom;89340;148,51;0,2324
Bio-Strom;89362;148,51;0,2324
Bio-Strom;89415;148,51;0,2324
Bio-Strom;89423;148,51;0,2324
Bio-Strom;89426;148,51;0,2324
Bio-Strom;89426;148,51;0,2324
Bio-Strom;89428;148,51;0,2324
Bio-Strom;89429;148,51;0,2324
Bio-Strom;89431;148,51;0,2324
Bio-Strom;89437;148,51;0,2324
Bio-Strom;89446;148,51;0,2324
Bio-Strom;89447;148,51;0,2324
Bio-Strom;89518;148,51;0,2324
Bio-Strom;89520;148,51;0,2324
Bio-Strom;89522;148,51;0,2324
Bio-Strom;89524;148,51;0,2324
Bio-Strom;89537;148,51;0,2324
Bio-Strom;89542;148,51;0,2324
Bio-Strom;89547;148,51;0,2324
Bio-Strom;89551;148,51;0,2324
Bio-Strom;89555;148,51;0,2324
Bio-Strom;89561;148,51;0,2324
Bio-Strom;89564;148,51;0,2324
Bio-Strom;89567;148,51;0,2324
Bio-Strom;89568;148,51;0,2324
Bio-Strom Flex;73430;185,64;0,2336
Bio-Strom Flex;73431;185,64;0,2336
Bio-Strom Flex;73432;185,64;0,2336
Bio-Strom Flex;73433;185,64;0,2336
Bio-Strom Flex;73434;185,64;0,2336
Bio-Strom Flex;73441;185,64;0,2336
Bio-Strom Flex;73447;185,64;0,2336
Bio-Strom Flex;73450;185,64;0,2336
Bio-Strom Flex;73453;185,64;0,2336
Bio-Strom Flex;73457;185,64;0,2336
Bio-Strom Flex;73460;185,64;0,2336
Bio-Strom Flex;73463;185,64;0,2336
Bio-Strom Flex;73466;185,64;0,2336
Bio-Strom Flex;73467;185,64;0,2336
Bio-Strom Flex;73469;185,64;0,2336
Bio-Strom Flex;73479;185,64;0,2336
Bio-Strom Flex;73485;185,64;0,2336
Bio-Strom Flex;73486;185,64;0,2336
Bio-Strom Flex;73488;185,64;0,2336
Bio-Strom Flex;73489;185,64;0,2336
Bio-Strom Flex;73491;185,64;0,2336
Bio-Strom Flex;73492;185,64;0,2336
Bio-Strom Flex;73494;185,64;0,2336
Bio-Strom Flex;73495;185,64;0,2336
Bio-Strom Flex;73497;185,64;0,2336
Bio-Strom Flex;73499;185,64;0,2336
Bio-Strom Flex;73525;185,64;0,2336
Bio-Strom Flex;73527;185,64;0,2336
Bio-Strom Flex;73527;185,64;0,2336
Bio-Strom Flex;73529;185,64;0,2336
Bio-Strom Flex;73540;185,64;0,2336
Bio-Strom Flex;73550;185,64;0,2336
Bio-Strom Flex;73553;185,64;0,2336
Bio-Strom Flex;73557;185,64;0,2336
Bio-Strom Flex;73560;185,64;0,2336
Bio-Strom Flex;73563;185,64;0,2336
Bio-Strom Flex;73565;185,64;0,2336
Bio-Strom Flex;73566;185,64;0,2336
Bio-Strom Flex;73568;185,64;0,2336
Bio-Strom Flex;73569;185,64;0,2336
Bio-Strom Flex;73569;185,64;0,2336
Bio-Strom Flex;73571;185,64;0,2336
Bio-Strom Flex;73572;185,64;0,2336
Bio-Strom Flex;73574;185,64;0,2336
Bio-Strom Flex;73575;185,64;0,2336
Bio-Strom Flex;73577;185,64;0,2336
Bio-Strom Flex;73579;185,64;0,2336
Bio-Strom Flex;73642;185,64;0,2336
Bio-Strom Flex;73655;185,64;0,2336
Bio-Strom Flex;73667;185,64;0,2336
Bio-Strom Flex;74417;185,64;0,2336
Bio-Strom Flex;74426;185,64;0,2336
Bio-Strom Flex;74429;185,64;0,2336
Bio-Strom Flex;74564;185,64;0,2336
Bio-Strom Flex;74572;185,64;0,2336
Bio-Strom Flex;74575;185,64;0,2336
Bio-Strom Flex;74579;185,64;0,2336
Bio-Strom Flex;74585;185,64;0,2336
Bio-Strom Flex;74586;185,64;0,2336
Bio-Strom Flex;74589;185,64;0,2336
Bio-Strom Flex;74592;185,64;0,2336
Bio-Strom Flex;74594;185,64;0,2336
Bio-Strom Flex;74597;185,64;0,2336
Bio-Strom Flex;74599;185,64;0,2336
Bio-Strom Flex;86609;185,64;0,2336
Bio-Strom Flex;86650;185,64;0,2336
Bio-Strom Flex;86655;185,64;0,2336
Bio-Strom Flex;86720;185,64;0,2336
Bio-Strom Flex;86733;185,64;0,2336
Bio-Strom Flex;86735;185,64;0,2336
Bio-Strom Flex;86735;185,64;0,2336
Bio-Strom Flex;86736;185,64;0,2336
Bio-Strom Flex;86738;185,64;0,2336
Bio-Strom Flex;86739;185,64;0,2336
Bio-Strom Flex;86741;185,64;0,2336
